"id","type_name","type_icon","created_at","updated_at","type","description","status"
"1","ในระหว่างวันที่ 24 กุมภาพันธ์ 2567 เวลา 09.00 น. ถึงวันเสาร์ที่ 25 กุมภาพันธ์ 2567 เวลา 17.00 น","ion-flag","7/3/2024 08:33:57.227","14/3/2024 03:45:54.397","danger","เนื่องจาก สำนักงาน ปปส. จะทำการปิดระบบเครื่องคอมพิวเตอร์แม่ข่าย เพื่อบำรุงรักษาระบบ จึงทำให้ผู้ใช้งานระบบ NISPA ไม่สามารถใช้งานระบบได้ในช่วงเวลาดังกล่าว และระบบจะสามารถเรียกใช้งานได้ หลังจากเวลา 17.00 น. วันอาทิตย์ที่ 25 กุมภาพันธ์ 2567 เป็นต้นไป
ขออภัยในความไม่สะดวก","1"
"2","ในระหว่างวันที่ 24 กุมภาพันธ์ 2567 เวลา 09.00 น. ถึงวันเสาร์ที่ 25 กุมภาพันธ์ 2567 เวลา 17.00 น","ion-alert-circled","7/3/2024 09:22:14.7","7/3/2024 09:22:14.7","danger","เนื่องจาก สำนักงาน ปปส. จะทำการปิดระบบเครื่องคอมพิวเตอร์แม่ข่าย เพื่อบำรุงรักษาระบบ จึงทำให้ผู้ใช้งานระบบ NISPA ไม่สามารถใช้งานระบบได้ในช่วงเวลาดังกล่าว และระบบจะสามารถเรียกใช้งานได้ หลังจากเวลา 17.00 น. วันอาทิตย์ที่ 25 กุมภาพันธ์ 2567 เป็นต้นไป
ขออภัยในความไม่สะดวก","1"
